"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.beta","log2fold_change","Auc"
"463","INS","hurdle",1.34561981783156e-181,6.922712,18.016716,11.094004,1
"447","IAPP","hurdle",8.15103220461674e-112,6.353892,13.777358,7.423466,0.99
"587","MEG3","hurdle",3.20002581671944e-49,6.817829,9.801602,2.983773,0.907
"647","NPTX2","hurdle",3.49638855361276e-53,5.300271,9.764687,4.464416,0.889
"837","SAMD11","hurdle",5.8632088116245e-43,4.608854,8.539461,3.930607,0.838
"888","SLC30A8","hurdle",3.21630863311046e-28,8.186942,9.987595,1.800653,0.831
"264","DLK1","hurdle",1.61213572446212e-53,3.01141,10.25055,7.23914,0.823
"19","ADCYAP1","hurdle",7.48844308750518e-43,3.326608,7.355092,4.028484,0.811
"842","SCG3","hurdle",1.12659856017533e-26,8.889772,10.366433,1.476661,0.808
"787","RBP4","hurdle",6.02197460286898e-25,11.49398,12.46527,0.97129,0.8
"1024","TSPAN1","hurdle",1.27849139942278e-29,5.933772,8.662071,2.728299,0.792
"135","CADM1","hurdle",5.42873577761054e-21,6.836672,9.007957,2.171285,0.772
"418","HADH","hurdle",1.36882664891796e-19,7.414731,9.220294,1.805563,0.766
"693","PCSK1N","hurdle",9.75230692934214e-20,10.92223,11.84242,0.92019,0.764
"360","G6PC2","hurdle",6.67938982740576e-20,7.271279,9.397357,2.126078,0.757
"692","PCSK1","hurdle",9.00375166352476e-20,8.19125,9.18823,0.996980000000001,0.756
"2","ABCC8","hurdle",7.340467852916e-19,8.568598,9.750663,1.182065,0.755
"364","GAD2","hurdle",6.27257087090264e-17,7.570861,9.298413,1.727552,0.752
"170","CD99","hurdle",2.98107675556977e-15,8.69274,10.14958,1.45684,0.746
"677","PARVB","hurdle",1.68666399726542e-18,5.770431,7.772151,2.00172,0.741
"843","SCG5","hurdle",3.33166770880377e-17,11.03651,11.76352,0.72701,0.739
"845","SCGN","hurdle",2.26853187145956e-14,9.008923,10.287515,1.278592,0.73
"565","MAFA","hurdle",1.49597895018089e-30,2.243613,6.690443,4.44683,0.726
"316","FAM159B","hurdle",1.15858703056658e-15,6.730944,8.754599,2.023655,0.723
"942","SURF4","hurdle",2.07283927423454e-12,8.242436,9.621363,1.378927,0.718
"194","CHGA","hurdle",3.66927489411449e-15,10.39602,10.92723,0.53121,0.717
"254","DHRS2","hurdle",1.90448014036602e-15,6.458172,8.400637,1.942465,0.716
"698","PEBP1","hurdle",2.91334821786265e-15,9.202457,10.293427,1.09097,0.711
"820","ROBO2","hurdle",1.71914238884531e-22,3.452447,6.821631,3.369184,0.71
"296","ENTPD3","hurdle",4.4486417551625e-21,4.15057,7.367474,3.216904,0.699
"224","CPE","hurdle",3.39598644789495e-15,10.74073,11.28866,0.547930000000001,0.697
"1043","UCHL1","hurdle",4.03950540366391e-10,8.421167,9.307324,0.886156999999999,0.696
"916","SORL1","hurdle",4.35514362866683e-13,7.052715,7.957468,0.904753,0.696
"310","FAM105A","hurdle",1.01896755949081e-15,4.799227,7.144907,2.34568,0.695
"628","NDUFC2","hurdle",7.19652295369613e-11,7.973601,8.963188,0.989587,0.689
"450","IFI6","hurdle",1.2716608298795e-09,7.381582,8.674346,1.292764,0.688
"566","MAFB","hurdle",6.9729449355402e-10,7.715219,8.909959,1.19474,0.687
"1005","TMEM37","hurdle",2.68895087211868e-11,5.983254,7.643747,1.660493,0.686
"637","NKX6-1","hurdle",6.41627850803433e-18,3.561006,6.590465,3.029459,0.682
"590","MEIS2","hurdle",3.68794052545767e-08,7.69521,8.32567,0.63046,0.678
"1077","ZC3H3","hurdle",2.3979882791462e-16,3.860657,6.557529,2.696872,0.677
"525","LAMP1","hurdle",4.6421729483312e-09,7.602456,8.632258,1.029802,0.677
"117","C1orf127","hurdle",4.07340143227536e-18,3.961323,7.188569,3.227246,0.676
"769","PTPRN","hurdle",3.38353454523553e-09,9.626926,10.242705,0.615779000000002,0.674
"1033","TUBA1A","hurdle",5.49084261138489e-08,9.532861,10.426499,0.893637999999999,0.672
"950","SYT13","hurdle",2.93789300483046e-10,6.380199,7.901595,1.521396,0.672
"939","STX1A","hurdle",7.39666917192847e-09,6.530367,7.830517,1.30015,0.667
"414","GSN","hurdle",1.75218982746177e-10,7.445274,9.39416,1.948886,0.665
"32","ALCAM","hurdle",2.42419962666358e-07,7.064728,8.096985,1.032257,0.657
"978","TFF3","hurdle",2.16709811208896e-13,4.03182,6.882613,2.850793,0.656
"760","PRSS23","hurdle",1.24225372682162e-06,7.886953,8.653907,0.766954,0.656
"5","ABHD3","hurdle",2.05443774786316e-10,5.660516,7.386228,1.725712,0.656
"860","SEZ6L2","hurdle",5.08663401300718e-07,7.285392,7.923556,0.638164,0.654
"508","KIF5C","hurdle",7.2669158394354e-08,5.98505,7.142087,1.157037,0.654
"886","SLC2A2","hurdle",1.76561127279301e-25,0.02722918,6.21880754,6.19157836,0.651
"68","ASB9","hurdle",2.6457893575709e-16,3.098024,6.502018,3.403994,0.647
"841","SCD5","hurdle",4.68660431786913e-08,6.102059,7.496561,1.394502,0.646
"8","ACAT1","hurdle",1.38444034063436e-06,6.813792,8.043175,1.229383,0.646
"592","METRN","hurdle",3.45086810395914e-07,5.983047,7.281577,1.29853,0.644
"826","RPL3","hurdle",8.9189178411954e-05,11.57731,12.19305,0.615739999999999,0.639
"239","DBI","hurdle",1.27315861065217e-05,8.702965,9.531724,0.828759,0.639
"801","RGS16","hurdle",3.50311865270704e-09,4.642421,7.120711,2.47829,0.638
"349","FKBP2","hurdle",5.96383305847572e-05,8.910152,9.433987,0.523835,0.638
"644","NPDC1","hurdle",8.14956814412369e-05,8.315807,8.899521,0.583714000000001,0.636
"979","TGFBR3","hurdle",8.13325520591139e-11,4.208218,6.522347,2.314129,0.635
"724","PLCXD3","hurdle",2.06178259163933e-07,5.859026,7.218863,1.359837,0.634
"943","SUSD4","hurdle",9.88623611867851e-10,3.86889,6.354148,2.485258,0.632
"432","HPCA","hurdle",5.46608766177496e-15,2.265591,5.84969,3.584099,0.632
"431","HOPX","hurdle",1.42498029381561e-07,5.079046,6.762292,1.683246,0.631
"27","AIG1","hurdle",4.43978019817016e-06,6.653859,7.499148,0.845289,0.63
"701","PERP","hurdle",0.000266969640597221,8.297028,8.844805,0.547777,0.629
"782","RASGRF1","hurdle",4.95698532920395e-11,3.366237,5.890325,2.524088,0.627
"912","SNRPN","hurdle",0.000395114158692795,6.644183,7.651923,1.00774,0.626
"120","C1QL1","hurdle",1.55958857581916e-09,4.488818,6.753791,2.264973,0.626
"654","NUCB2","hurdle",0.000147938622736543,8.105221,8.680227,0.575006,0.624
"638","NLRP1","hurdle",1.17673847611251e-05,6.346714,7.217541,0.870826999999999,0.624
"806","RIC3","hurdle",4.17462449053058e-06,5.349282,6.56083,1.211548,0.623
"780","RASD1","hurdle",3.28714992415201e-05,7.481612,8.540082,1.05847,0.622
"730","PODXL2","hurdle",2.1870882589159e-06,5.740523,7.052488,1.311965,0.622
"197","CHODL","hurdle",4.33645500476279e-16,2.803413,7.384363,4.58095,0.622
"907","SMIM18","hurdle",1.87759234115934e-11,2.537104,5.702795,3.165691,0.621
"540","LMO1","hurdle",8.79595598360239e-08,4.658264,6.479789,1.821525,0.62
"1097","ZNF385D","hurdle",1.31172264954694e-15,0.8102524,5.1414206,4.3311682,0.619
"949","SYP","hurdle",8.39730313400861e-05,5.894652,6.874749,0.980097000000001,0.618
"696","PDX1","hurdle",4.88036150692521e-07,5.733244,7.523015,1.789771,0.618
"235","CYYR1","hurdle",8.66117088498978e-18,0.4763218,6.0458906,5.5695688,0.618
"991","TMED6","hurdle",1.25086329741336e-06,5.436118,6.815805,1.379687,0.616
"196","CHL1","hurdle",3.92717792654734e-17,-0.1938753,5.3293139,5.5231892,0.616
"1069","WSCD2","hurdle",3.57013187392882e-15,1.121013,5.987958,4.866945,0.615
"287","ELAVL4","hurdle",3.10224563115925e-06,5.078211,6.412515,1.334304,0.615
"663","ORMDL2","hurdle",0.000827919591081791,7.040169,7.666694,0.626525,0.614
"201","CHST9","hurdle",2.03017425645187e-05,5.304153,6.691884,1.387731,0.611
"416","GYG1","hurdle",3.42246877320958e-05,6.300581,7.195771,0.895189999999999,0.61
"302","ERP29","hurdle",0.0298548073170429,8.939042,9.440494,0.501451999999999,0.61
"941","SURF2","hurdle",2.67480884064387e-07,5.581338,6.770257,1.188919,0.609
"840","SAYSD1","hurdle",1.10338788195689e-05,5.054596,6.371318,1.316722,0.609
"492","KCNK16","hurdle",1.04081173797018e-05,5.818503,7.198299,1.379796,0.609
"277","DUSP26","hurdle",9.73750164224489e-05,6.24357,7.224554,0.980984,0.606
"1025","TSPAN13","hurdle",0.00100039653779033,7.546295,8.073287,0.526992000000001,0.605
"790","REEP2","hurdle",5.59233927387556e-05,4.823689,6.039189,1.2155,0.605
"140","CAPN13","hurdle",5.90353626295192e-15,1.017625,6.172416,5.154791,0.605
"570","MAP1LC3A","hurdle",0.000741270269076552,6.811404,7.65044,0.839036,0.604
"36","ALOX5","hurdle",6.79778939470039e-07,3.987204,5.569054,1.58185,0.604
"389","GNG4","hurdle",0.000370853161944468,6.223219,7.306356,1.083137,0.603
"955","SYTL1","hurdle",3.31815762340804e-05,4.981212,6.29145,1.310238,0.602
"892","SLC43A2","hurdle",0.000374263328407297,5.666588,6.394442,0.727854,0.602
"394","GPM6A","hurdle",1.0395923942663e-09,3.812629,6.335596,2.522967,0.602
"342","FFAR4","hurdle",4.33371133840965e-06,4.902698,6.34663,1.443932,0.602
"1019","TRPM3","hurdle",2.13111370904506e-09,2.226175,5.185712,2.959537,0.6
"719","PLAGL1","hurdle",7.27822227900518e-06,5.427828,6.633207,1.205379,0.6
"1037","TUBB2B","hurdle",1.42616478220163e-08,4.287901,6.86116,2.573259,0.599
"711","PIGP","hurdle",9.45130129666472e-05,6.421118,7.183438,0.76232,0.598
"543","LRFN2","hurdle",8.01276421282205e-15,-0.3154693,5.3888158,5.7042851,0.598
"146","CCDC109B","hurdle",2.58307315940088e-07,4.564453,6.455849,1.891396,0.598
"370","GCGR","hurdle",1.56705707283197e-09,2.647163,5.882768,3.235605,0.597
"318","FAM173A","hurdle",0.00300188166682374,6.24434,7.041936,0.797596,0.597
"802","RGS9","hurdle",2.07687464820822e-06,5.360546,7.153542,1.792996,0.596
"430","HOOK2","hurdle",0.00145392832289608,6.77654,7.543915,0.767375,0.596
"859","SEZ6L","hurdle",8.16995516264926e-05,5.290587,6.469892,1.179305,0.593
"703","PFKFB2","hurdle",3.79681005741771e-10,4.991659,7.746301,2.754642,0.593
"661","OCIAD1","hurdle",0.0195646662233473,7.723508,8.237913,0.514405000000001,0.593
"515","KLHDC8A","hurdle",8.94504997127988e-07,3.839261,5.901715,2.062454,0.593
"101","BTG3","hurdle",0.000985611691971573,6.910692,7.575285,0.664593,0.593
"1034","TUBA1B","hurdle",0.000797885300924289,9.198887,9.715449,0.516562,0.592
"951","SYT14","hurdle",8.14860698906205e-05,4.01834,5.627149,1.608809,0.592
"905","SMAD9","hurdle",5.12852512113924e-06,3.76037,5.598776,1.838406,0.592
"606","MT1X","hurdle",0.00403109743069807,7.763075,8.624758,0.861683,0.591
"408","GRIA4","hurdle",8.52230365935666e-13,1.025877,5.326256,4.300379,0.591
"919","SPCS2","hurdle",0.00610129635324973,7.396873,8.03432,0.637446999999999,0.59
"276","DPP6","hurdle",0.000664782877607058,6.085447,7.023645,0.938198,0.59
"1059","VOPP1","hurdle",0.000374946707443354,5.849716,6.776044,0.926328,0.589
"252","DGCR5","hurdle",8.3327221058508e-09,1.571068,4.82819,3.257122,0.589
"655","NUDT3","hurdle",0.000126256022397954,4.897789,6.134636,1.236847,0.588
"104","C14orf132","hurdle",0.00271781494570572,6.243676,6.968575,0.724899000000001,0.588
"1058","VLDLR","hurdle",0.00318344704181888,5.464718,6.425689,0.960971,0.587
"1026","TSPAN2","hurdle",0.0042471537857659,5.819734,6.559198,0.739464,0.587
"968","TCEAL4","hurdle",3.46016664643173e-05,7.356694,7.970691,0.613997,0.587
"835","RXRG","hurdle",1.76113029002035e-05,4.130474,5.921204,1.79073,0.587
"617","MYH14","hurdle",0.00603935692402641,5.946956,6.687463,0.740507,0.587
"785","RBFOX3","hurdle",1.08936034916707e-06,2.53605,4.8973,2.36125,0.586
"626","NAV2","hurdle",1.72543339090217e-05,4.244131,5.788592,1.544461,0.586
"504","KIF1A","hurdle",0.00712873139559766,7.1267,7.659664,0.532964000000001,0.586
"60","ARL16","hurdle",1.36419515018931e-07,5.763974,6.763068,0.999093999999999,0.586
"601","MPP1","hurdle",5.80280020851623e-05,4.926707,6.156695,1.229988,0.585
"166","CD72","hurdle",1.71018570842716e-06,3.377249,5.424813,2.047564,0.585
"562","LYSMD2","hurdle",5.14556586366764e-05,5.943094,6.879966,0.936871999999999,0.583
"788","RCBTB2","hurdle",5.82233631958236e-07,3.7788,5.921637,2.142837,0.582
"956","TAGLN3","hurdle",0.000820577594807224,5.28858,6.384208,1.095628,0.58
"268","DNAJB9","hurdle",0.0250026889987837,7.108778,7.636916,0.528138,0.58
"827","RPP25","hurdle",0.000626516477790559,5.090617,6.120864,1.030247,0.579
"383","GLP1R","hurdle",1.72109046743968e-09,0.9167703,5.2052044,4.2884341,0.579
"49","APCDD1L","hurdle",9.08346703360289e-11,-0.07307272,4.99205055,5.06512327,0.579
"966","TCEAL2","hurdle",0.00485259926190954,6.079643,6.762652,0.683009,0.578
"630","NEFM","hurdle",8.11640850025101e-07,2.767205,6.216055,3.44885,0.577
"505","KIF21A","hurdle",0.00569830920354251,6.177383,6.907825,0.730442,0.577
"62","ARL4D","hurdle",0.000185493780342373,3.796424,5.405746,1.609322,0.577
"599","MLXIPL","hurdle",0.0101968641625987,6.222439,6.882907,0.660468000000001,0.576
"380","GJD2","hurdle",7.25922482196893e-06,2.908555,5.340746,2.432191,0.576
"202","CIRBP","hurdle",0.0162284890831261,8.858376,9.370329,0.511953,0.576
"200","CHST8","hurdle",1.1039296349184e-06,2.168602,4.91951,2.750908,0.576
"70","ASCL2","hurdle",4.6454796381281e-05,3.511845,5.305522,1.793677,0.576
"52","ARG2","hurdle",0.00267188139746415,5.425955,6.445428,1.019473,0.576
"1032","TTLL7","hurdle",0.00275670955247182,5.16755,6.127414,0.959864,0.575
"789","RDH14","hurdle",0.00135794050228272,4.48063,5.602373,1.121743,0.575
"495","KCNQ2","hurdle",7.48854464635261e-07,2.214393,4.499648,2.285255,0.575
"700","PEPD","hurdle",6.77158324799641e-05,6.744993,7.484894,0.739901,0.574
"214","CNTN4","hurdle",3.20782593595372e-05,3.678637,5.483148,1.804511,0.574
"190","CFC1","hurdle",0.0043942564055384,4.805724,5.712665,0.906941000000001,0.574
"962","TBCA","hurdle",2.85640115401415e-05,7.727868,8.31063,0.582762,0.573
"740","PPP1R1A","hurdle",0.0292922030351702,7.117461,7.702344,0.584883,0.573
"405","GPSM1","hurdle",2.34378481406805e-06,4.163247,6.077278,1.914031,0.573
"294","ENO2","hurdle",0.047786013865408,6.896361,7.491164,0.594803000000001,0.573
"995","TMEM150C","hurdle",5.23119803854324e-05,3.346206,5.257418,1.911212,0.571
"275","DPM3","hurdle",0.0224121954098979,6.834908,7.355352,0.520443999999999,0.571
"993","TMEM132A","hurdle",1.26644212646946e-05,5.095564,6.296456,1.200892,0.57
"879","SLC25A34","hurdle",3.31267300566533e-06,2.715208,5.344229,2.629021,0.57
"580","MCF2L2","hurdle",1.65215031524461e-05,1.793245,4.570607,2.777362,0.57
"390","GNG7","hurdle",7.13312272851597e-06,4.128253,5.758639,1.630386,0.57
"145","CCDC107","hurdle",0.00808585121607922,6.040036,6.767131,0.727095,0.57
"95","BMP5","hurdle",0.00112711887229631,4.892266,6.111652,1.219386,0.57
"911","SNHG7","hurdle",0.0362072356178838,6.540135,7.041372,0.501237,0.569
"409","GRIN2A","hurdle",5.22397445583872e-08,1.433837,4.641207,3.20737,0.569
"652","NTPCR","hurdle",0.0137203686295589,5.572363,6.383969,0.811605999999999,0.568
"581","MCOLN1","hurdle",0.000717239123403373,5.717588,6.664115,0.946527,0.568
"97","BPIFC","hurdle",3.81160273910688e-14,-2.338358,4.965645,7.304003,0.568
"961","TBC1D22A","hurdle",1.1688589793453e-06,4.415496,5.989251,1.573755,0.567
"876","SLC16A9","hurdle",0.00120023384041724,4.265648,5.464811,1.199163,0.567
"233","CYP27A1","hurdle",0.000911781314948831,4.454498,5.684882,1.230384,0.567
"1035","TUBA4A","hurdle",2.15885486843039e-07,7.124458,8.317279,1.192821,0.566
"613","MTUS2","hurdle",0.000137382721359976,3.203261,5.146472,1.943211,0.566
"531","LDLRAD3","hurdle",6.63626732002617e-05,3.038134,4.94628,1.908146,0.566
"79","ATP6V0E2","hurdle",0.0201853462956064,7.217391,7.737519,0.520128,0.566
"996","TMEM179","hurdle",0.000489507193303563,3.873936,5.319474,1.445538,0.565
"945","SYBU","hurdle",0.00635872754880007,4.621029,5.735469,1.11444,0.565
"906","SMIM1","hurdle",0.000677798692117654,4.226531,5.441608,1.215077,0.565
"368","GAP43","hurdle",1.02555579079236e-05,2.642358,4.686134,2.043776,0.565
"365","GALNT14","hurdle",6.07121531470831e-05,2.818308,4.94131,2.123002,0.565
"1036","TUBB2A","hurdle",0.000896620001216997,6.232481,7.460401,1.22792,0.564
"846","SCN1B","hurdle",3.45838576835048e-05,3.67767,5.985965,2.308295,0.564
"121","C21orf58","hurdle",0.0496960452810728,5.640441,6.200222,0.559781,0.564
"1012","TNFAIP8","hurdle",0.00401852550888922,4.03416,5.259114,1.224954,0.563
"384","GLRA1","hurdle",4.62655098989865e-09,-1.095892,4.16189,5.257782,0.563
"292","EMB","hurdle",0.017119570790612,4.614571,5.451151,0.836580000000001,0.563
"238","DAPL1","hurdle",0.00191817603871254,3.405864,4.532514,1.12665,0.563
"831","RTBDN","hurdle",0.000388281081877627,3.639654,5.263238,1.623584,0.562
"695","PDE8B","hurdle",0.000149598232625165,4.102837,5.669039,1.566202,0.562
"970","TCERG1L","hurdle",4.94481293549759e-08,-0.503354,4.371692,4.875046,0.561
"894","SLC4A10","hurdle",0.001129117083337,4.328041,5.557903,1.229862,0.561
"87","B3GNT8","hurdle",0.00157463854663295,3.617584,5.146132,1.528548,0.561
"461","IMMP1L","hurdle",0.0217237083764691,5.091999,5.793859,0.70186,0.56
"237","DACH2","hurdle",4.89198096378458e-05,2.216715,4.829876,2.613161,0.56
"183","CDK5R2","hurdle",0.0126924554144836,4.92088,5.649797,0.728917,0.56
"21","ADRA2A","hurdle",3.91068813167434e-05,2.301152,4.86629,2.565138,0.56
"491","KCNJ6","hurdle",0.0370654427146564,5.703722,6.30452,0.600798,0.559
"160","CD14","hurdle",0.00660074059476697,4.414732,5.406155,0.991423,0.559
"1064","VWDE","hurdle",0.00242281599137428,3.962387,5.286896,1.324509,0.558
"807","RIMKLA","hurdle",0.000113374857030954,3.767107,5.455913,1.688806,0.558
"722","PLCH2","hurdle",4.10189751197783e-09,-0.7709109,4.3269334,5.0978443,0.558
"313","FAM13C","hurdle",0.000676771881881335,2.549225,4.597108,2.047883,0.558
"153","CCDC67","hurdle",1.45467905112136e-06,1.318429,4.748049,3.42962,0.558
"4","ABHD14A","hurdle",0.045570860654236,5.852238,6.420278,0.56804,0.558
"933","ST6GALNAC5","hurdle",9.50069366068654e-05,3.454628,5.251706,1.797078,0.557
"723","PLCXD2","hurdle",0.00324046480688168,4.129648,5.029607,0.899959,0.557
"555","LRRTM3","hurdle",1.03040221247316e-06,-0.129227,3.901021,4.030248,0.557
"212","CNRIP1","hurdle",0.046760690152537,4.610459,5.300839,0.69038,0.557
"992","TMEM108","hurdle",1.18003451382819e-08,-0.7480673,4.2911687,5.039236,0.556
"908","SNAPC5","hurdle",0.0008470964401902,4.104316,5.277584,1.173268,0.556
"454","IGSF1","hurdle",4.60813614633616e-05,2.579135,5.891626,3.312491,0.556
"367","GAMT","hurdle",0.0236483379936454,6.620456,7.146873,0.526417,0.556
"771","PUS7L","hurdle",0.00136167442833879,4.867371,5.923914,1.056543,0.555
"763","PRUNE2","hurdle",0.0160532549692507,5.663957,6.470516,0.806559,0.555
"716","PIR","hurdle",0.000452508195408888,3.799494,5.142516,1.343022,0.555
"715","PIPOX","hurdle",0.00800421660689325,4.610498,5.685105,1.074607,0.555
"420","HAPLN4","hurdle",8.07922831000154e-09,-1.836311,4.477066,6.313377,0.554
"290","ELOVL4","hurdle",0.00154675636307388,4.614585,5.782824,1.168239,0.554
"185","CDKN1C","hurdle",0.00198763337723411,5.521152,6.149848,0.628696000000001,0.554
"861","SFTPA1","hurdle",1.54807404712211e-08,-1.700544,4.868635,6.569179,0.553
"452","IGF2","hurdle",9.39258159623786e-05,1.653906,4.352925,2.699019,0.553
"134","CACNA2D1","hurdle",0.0261154219453331,4.753249,5.654846,0.901597,0.553
"974","TENM4","hurdle",4.51579543565336e-05,2.129398,4.567853,2.438455,0.552
"871","SIX3","hurdle",6.35877079654182e-08,-0.9908649,5.0376759,6.0285408,0.552
"768","PTPN4","hurdle",0.000754790986272317,4.405903,5.507597,1.101694,0.552
"602","MRAP2","hurdle",0.00338351806211168,4.9892,5.922304,0.933103999999999,0.552
"328","FAM229B","hurdle",0.00704940940893621,5.276757,6.172556,0.895799,0.552
"203","CISD2","hurdle",0.000658539308194565,6.633403,7.243309,0.609906,0.552
"14","ACVR1C","hurdle",0.0306942716832852,4.373616,5.090112,0.716496,0.552
"1007","TMEM61","hurdle",0.0739833040662729,4.78782,5.423516,0.635696,0.551
"967","TCEAL3","hurdle",0.00753278726766037,6.499021,7.04104,0.542019,0.551
"925","SPTB","hurdle",0.0147688213153735,4.653426,5.315647,0.662221000000001,0.551
"869","SIPA1L2","hurdle",0.00389100845251886,3.951059,5.070714,1.119655,0.551
"864","SGPP2","hurdle",0.0323777212478476,3.988187,4.934169,0.945982,0.551
"741","PPP1R37","hurdle",0.0021830522609124,4.297344,5.341674,1.04433,0.551
"671","P2RY1","hurdle",0.000909759390841665,2.425172,4.859195,2.434023,0.551
"493","KCNK17","hurdle",0.0021220860558112,3.796518,5.25928,1.462762,0.55
"234","CYP2U1","hurdle",0.00180885520385036,3.928523,5.307051,1.378528,0.55
"426","HHATL","hurdle",4.98635657923292e-11,-3.269365,4.801841,8.071206,0.549
"181","CDIP1","hurdle",0.0725880719394259,5.929262,6.51075,0.581488,0.549
"994","TMEM132B","hurdle",0.000726256970622796,1.705785,4.005573,2.299788,0.548
"982","THAP8","hurdle",0.00106694928401078,3.598268,5.013837,1.415569,0.548
"866","SH3GL2","hurdle",0.0258695322385577,5.599109,6.249651,0.650542,0.548
"792","REM2","hurdle",0.00176576869995015,2.27166,4.257848,1.986188,0.548
"293","ENHO","hurdle",6.34368902438503e-05,0.5163594,3.5378965,3.0215371,0.548
"288","ELMO1","hurdle",0.0057128609816212,5.525572,6.851413,1.325841,0.548
"85","B3GALT2","hurdle",0.000955455193428442,2.357829,4.339622,1.981793,0.548
"928","SRD5A1","hurdle",0.00560944395745617,4.707969,5.956455,1.248486,0.547
"621","MYO3A","hurdle",0.0102856150103647,4.850602,5.698771,0.848169,0.547
"537","LIN7B","hurdle",0.00517184366813042,4.75204,5.622461,0.870421,0.547
"419","HAGHL","hurdle",0.0628489628558364,4.183875,4.811611,0.627736000000001,0.547
"1053","USP18","hurdle",3.17333627627787e-06,3.378474,5.423235,2.044761,0.546
"914","SNX29","hurdle",0.0835661198779207,4.417805,5.180465,0.762659999999999,0.546
"910","SNCB","hurdle",0.000216730173548257,1.76165,4.371401,2.609751,0.546
"598","MLLT11","hurdle",0.242392093623359,5.948519,6.507597,0.559078,0.546
"218","COQ10A","hurdle",0.00294979872843673,4.595234,5.604618,1.009384,0.546
"567","MAMDC2","hurdle",7.91595502217882e-06,0.271439,3.594402,3.322963,0.545
"442","HSF4","hurdle",0.000803953901289253,3.685917,5.165121,1.479204,0.545
"273","DOCK10","hurdle",0.00571180452604717,1.965526,3.851184,1.885658,0.545
