"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.beta","log2fold_change","Auc"
"903","SLIT1","hurdle",0.000248113526391275,2.574536,4.858575,2.284039,0.544
"596","MIOX","hurdle",1.92032587161337e-07,-2.443039,4.138169,6.581208,0.544
"556","LSAMP","hurdle",0.00862507080210702,4.755036,5.827405,1.072369,0.544
"456","IGSF21","hurdle",0.000280774626482917,1.758308,4.515916,2.757608,0.544
"159","CCSER1","hurdle",0.00615988952808381,2.64026,4.328481,1.688221,0.544
"48","AP3B1","hurdle",1.23950090190489e-05,6.207842,7.124023,0.916181,0.544
"947","SYNGR4","hurdle",0.0803210505640013,4.369569,5.171306,0.801737,0.543
"825","RPH3AL","hurdle",0.0028429071196585,5.747824,6.529616,0.781792,0.543
"824","RPH3A","hurdle",1.30253648787013e-06,-0.6974375,4.4519142,5.1493517,0.543
"422","HDDC3","hurdle",0.0903165508553568,5.178431,5.752859,0.574428,0.543
"158","CCS","hurdle",0.0093059391061858,5.649078,6.353281,0.704203,0.543
"122","C22orf42","hurdle",0.0191471512687912,3.526002,4.938554,1.412552,0.543
"77","ATP2A3","hurdle",0.0597144821279697,6.65591,7.671511,1.015601,0.543
"455","IGSF11","hurdle",9.26199660863273e-06,-0.877794,3.616532,4.494326,0.542
"393","GPD1","hurdle",0.00255783714047832,2.886413,5.076366,2.189953,0.542
"813","RNF135","hurdle",0.0539904630711582,4.176312,5.237402,1.06109,0.541
"772","PVRL3","hurdle",0.164925588943978,4.675553,5.50079,0.825237,0.541
"750","PRKRIP1","hurdle",0.0142070306709779,2.978043,4.274613,1.29657,0.541
"429","HMGN5","hurdle",0.196085137964033,5.031091,5.700679,0.669588,0.541
"176","CDH22","hurdle",4.13345165320519e-05,1.507317,4.322077,2.81476,0.541
"898","SLC8A1","hurdle",0.058804967947433,3.785753,4.854994,1.069241,0.54
"413","GRM4","hurdle",0.0608999961121812,3.966852,4.804267,0.837415,0.54
"345","FGF9","hurdle",0.00693389895054414,2.665989,4.183009,1.51702,0.54
"1052","USE1","hurdle",0.0546745271447892,5.182563,5.857357,0.674794,0.539
"936","STMN3","hurdle",0.100422674367058,5.117137,5.778213,0.661076,0.539
"777","RAB3A","hurdle",0.00365497815685543,4.066222,5.128157,1.061935,0.539
"444","HSPB6","hurdle",0.00855499344515732,2.244811,4.416856,2.172045,0.539
"245","DCK","hurdle",0.00395878514195787,4.862439,5.737101,0.874662,0.539
"1061","VPS37A","hurdle",0.0189049501713277,6.041348,6.563171,0.521822999999999,0.538
"1045","UCN3","hurdle",0.0138930345861579,3.692237,4.960234,1.267997,0.538
"1009","TMOD1","hurdle",0.0708165620444507,6.875754,7.471958,0.596204,0.538
"921","SPEG","hurdle",0.01959001022127,3.273132,4.382405,1.109273,0.538
"901","SLCO1A2","hurdle",7.20765046081634e-07,-2.290196,3.748345,6.038541,0.538
"823","RORC","hurdle",0.149639242057974,4.168785,5.069379,0.900594,0.538
"800","RGP1","hurdle",0.0113317246641215,3.92696,4.931423,1.004463,0.538
"639","NMRK1","hurdle",0.00423452912375622,5.243873,5.973519,0.729646,0.538
"586","MED31","hurdle",0.0536082979022536,4.783319,5.421742,0.638423,0.538
"511","KIFC2","hurdle",0.00514868830228389,3.647295,4.938695,1.2914,0.538
"94","BMI1","hurdle",0.10675416639288,3.632523,4.308659,0.676136,0.538
"1054","USP51","hurdle",0.0340094848746889,3.557735,4.757485,1.19975,0.537
"959","TATDN1","hurdle",0.095693368798015,4.722924,5.458543,0.735619,0.537
"721","PLCB4","hurdle",0.0896815091305199,4.666032,5.360326,0.694293999999999,0.537
"670","P2RX6","hurdle",7.1398021401464e-05,-0.2830651,3.4838518,3.7669169,0.537
"437","HS6ST1","hurdle",0.0235153042414825,4.21789,5.022091,0.804201,0.537
"433","HRASLS","hurdle",0.00578607464149812,1.585582,3.708897,2.123315,0.537
"271","DNM3","hurdle",0.0380726628723929,2.803689,4.167788,1.364099,0.537
"1104","ZNF518B","hurdle",0.00707542339446168,3.321616,4.699557,1.377941,0.536
"980","TGFBR3L","hurdle",0.143710683638142,3.49723,4.417743,0.920513,0.536
"954","SYT7","hurdle",0.0671717940289521,6.227866,6.948368,0.720502000000001,0.536
"753","PRPF19","hurdle",6.06800248108755e-05,4.746047,5.785731,1.039684,0.536
"512","KIRREL3","hurdle",0.000196167326120323,0.1132231,3.7293115,3.6160884,0.536
"462","IMMP2L","hurdle",0.112352798544458,4.221508,5.005735,0.784227,0.536
"392","GOLT1A","hurdle",0.0358566015528376,4.950276,5.624342,0.674066000000001,0.536
"391","GNPDA1","hurdle",0.0655139888034238,5.860512,6.366616,0.506104,0.536
"116","C1D","hurdle",0.0192609711329369,5.932172,6.508162,0.57599,0.536
"969","TCEAL6","hurdle",0.0680653104644666,2.839531,4.155558,1.316027,0.535
"909","SNCA","hurdle",0.0255842169983306,4.101275,5.039773,0.938498,0.535
"889","SLC35D3","hurdle",0.00204737698731429,1.552454,3.834404,2.28195,0.535
"648","NPY","hurdle",0.0404458067137232,4.194444,7.738236,3.543792,0.535
"486","KCNA3","hurdle",2.91450932490258e-05,-0.5897076,3.6936415,4.2833491,0.535
"351","FN3K","hurdle",0.00383710960160094,3.034502,4.585778,1.551276,0.535
"221","CORO7","hurdle",0.0121272601492805,4.28448,5.173787,0.889307,0.535
"131","C9orf135","hurdle",0.0274920991478263,2.456918,3.676898,1.21998,0.535
"82","ATRNL1","hurdle",0.0501612138020694,3.713013,4.761475,1.048462,0.535
"3","ABCG1","hurdle",0.0187572956007729,4.069858,5.065716,0.995858,0.535
"1008","TMEM63C","hurdle",0.0376800948088795,3.263692,4.768878,1.505186,0.534
"854","SEMA6D","hurdle",0.0055292484145188,3.257928,4.760424,1.502496,0.534
"810","RLTPR","hurdle",0.00882644235427383,2.458595,4.125908,1.667313,0.534
"636","NKX2-2","hurdle",0.141187178618557,5.16715,5.867278,0.700127999999999,0.534
"356","FSTL4","hurdle",0.0135548540672998,2.870227,4.511982,1.641755,0.534
"311","FAM107A","hurdle",0.018215627462828,1.800297,3.760071,1.959774,0.534
"18","ADAP2","hurdle",0.021676927269876,2.013818,3.654369,1.640551,0.534
"1107","ZNF568","hurdle",0.0389897493762469,3.99209,4.857646,0.865556,0.533
"998","TMEM196","hurdle",0.234761253696904,3.911914,4.510244,0.59833,0.533
"988","TM6SF2","hurdle",0.00170211067794812,0.2935223,3.0824445,2.7889222,0.533
"387","GNAO1","hurdle",0.314939376407356,4.752721,5.293664,0.540943,0.533
"373","GDAP1L1","hurdle",0.0838792777946578,3.527511,4.54804,1.020529,0.533
"371","GCK","hurdle",0.0676632221002705,4.501095,5.581836,1.080741,0.533
"270","DNER","hurdle",0.0958166643242493,3.124215,4.592971,1.468756,0.533
"130","C8orf76","hurdle",0.000683842373178455,4.376851,5.359578,0.982727,0.533
"11","ACRBP","hurdle",0.00242642621395029,0.8550762,3.4051564,2.5500802,0.533
"997","TMEM187","hurdle",0.00280399653200412,4.371349,5.424359,1.05301,0.532
"783","RASGRF2","hurdle",0.020321900258276,1.871996,3.724772,1.852776,0.532
"737","PPM1E","hurdle",0.00264086083737477,0.4607071,3.3297083,2.8690012,0.532
"542","LRAT","hurdle",0.00382057245872377,2.148341,4.104774,1.956433,0.532
"335","FBXL2","hurdle",0.0540776128812205,3.984668,4.779533,0.794865,0.532
"179","CDHR1","hurdle",0.000762562630452232,0.4243833,3.4890457,3.0646624,0.532
"12","ACTR3B","hurdle",0.0777652888055848,3.262711,4.569784,1.307073,0.532
"987","TLE6","hurdle",0.0801061525890536,2.264568,3.704064,1.439496,0.531
"742","PPP2R2C","hurdle",0.00315721433057278,1.879915,3.915866,2.035951,0.531
"738","PPM1L","hurdle",0.0706335975323544,3.340112,4.43945,1.099338,0.531
"538","LINGO2","hurdle",0.00438672324015672,0.8950452,3.1913365,2.2962913,0.531
"230","CTNNA2","hurdle",0.108267841118395,2.594523,3.516456,0.921933,0.531
"1068","WDYHV1","hurdle",0.0190135052762348,4.172726,4.991329,0.818603,0.53
"915","SOCS2","hurdle",0.11880671432941,4.523328,5.149954,0.626626,0.53
"913","SNTA1","hurdle",0.0703054085416964,3.09415,4.210087,1.115937,0.53
"759","PRRT3","hurdle",0.0671078003737639,4.072973,5.171503,1.09853,0.53
"734","PON3","hurdle",0.221697480457534,5.441371,6.26046,0.819089,0.53
"545","LRRC1","hurdle",0.109815023150358,4.290907,4.905518,0.614611,0.53
"163","CD302","hurdle",0.00819568686858727,2.461135,4.215684,1.754549,0.53
"1087","ZNF205","hurdle",0.118172659004896,3.297267,4.246233,0.948966,0.529
"1056","VAT1L","hurdle",0.109294763299656,3.277529,4.493656,1.216127,0.529
"1041","UBE2QL1","hurdle",0.0977586663121932,4.44016,5.203089,0.762929000000001,0.529
"1006","TMEM38B","hurdle",0.0221491963628227,4.799741,5.641375,0.841634,0.529
"981","THAP3","hurdle",0.0943150720676379,4.086834,4.945616,0.858782000000001,0.529
"885","SLC2A12","hurdle",0.0743065281673913,2.439152,3.644247,1.205095,0.529
"858","SEZ6","hurdle",0.0656210732608059,3.480515,4.760443,1.279928,0.529
"662","OLIG1","hurdle",0.000101854210268694,-1.356063,2.890103,4.246166,0.529
"477","JAKMIP2","hurdle",0.00697779595159693,3.881624,4.890037,1.008413,0.529
"357","FTCD","hurdle",0.00493897482915377,1.530613,3.968386,2.437773,0.529
"353","FOXN2","hurdle",0.0235225231998065,4.178344,5.091984,0.91364,0.529
"319","FAM174A","hurdle",0.000390066896234257,5.977987,6.496603,0.518616000000001,0.529
"286","EHBP1L1","hurdle",0.0895054844723213,3.378159,4.446197,1.068038,0.529
"283","EEF1A2","hurdle",0.0668334017754831,3.199319,4.265039,1.06572,0.529
"206","CLDN15","hurdle",0.000563740185926882,3.266436,4.703986,1.43755,0.529
"155","CCDC88C","hurdle",0.0752787242463956,2.079631,2.896959,0.817328,0.529
"93","BEST3","hurdle",0.000920308107841554,0.2076397,3.7183229,3.5106832,0.529
"92","BEND6","hurdle",0.075052744121404,2.545575,3.908978,1.363403,0.529
"65","ARMCX6","hurdle",0.116771501909705,4.977897,5.495241,0.517344,0.529
"1088","ZNF224","hurdle",0.0768859849465399,3.376472,4.439557,1.063085,0.528
"1001","TMEM223","hurdle",0.0417149895995719,4.839895,5.539151,0.699256,0.528
"852","SEMA5A","hurdle",0.0428819375724669,5.141697,5.738177,0.596480000000001,0.528
"754","PRPH","hurdle",0.0570052402199122,1.655851,2.919292,1.263441,0.528
"583","ME3","hurdle",0.28889023192466,4.620972,5.237474,0.616502,0.528
"164","CD5","hurdle",1.26140074081145e-06,-2.900601,3.553463,6.454064,0.528
"138","CAMKK1","hurdle",0.02923334372178,3.255851,4.395216,1.139365,0.528
"45","ANKRD6","hurdle",0.0802117364340965,2.62626,3.779724,1.153464,0.528
"1060","VPS33A","hurdle",0.00372794132612513,4.467629,5.332433,0.864804,0.527
"812","RNF130","hurdle",0.01944456400483,6.645787,7.229825,0.584038,0.527
"569","MAN1C1","hurdle",0.195910821817683,4.586201,5.156225,0.570024,0.527
"514","KLC2","hurdle",0.020876578644798,5.232579,5.870548,0.637969,0.527
"479","KAT2B","hurdle",0.450834873223771,4.129656,4.644553,0.514897,0.527
"382","GLIPR1L2","hurdle",0.00309756266623429,1.488094,3.885649,2.397555,0.527
"281","ECEL1","hurdle",0.161800950801957,4.754895,5.353524,0.598629,0.527
"280","EBPL","hurdle",0.00466898921679963,5.425239,6.020835,0.595596,0.527
"258","DIRAS1","hurdle",0.0145827324015131,2.561265,4.341305,1.78004,0.527
"1","ABCA3","hurdle",0.00659677601572775,4.83731,5.974448,1.137138,0.527
"1011","TMPRSS6","hurdle",0.228750192264526,3.680225,4.726747,1.046522,0.526
"924","SPINK2","hurdle",0.00689978508848944,-0.02703857,2.96016898,2.98720755,0.526
"778","RALYL","hurdle",0.179293660436534,3.807162,4.476965,0.669803,0.526
"594","MGAT4C","hurdle",0.0320446564945076,1.601501,3.059342,1.457841,0.526
"574","MAPRE3","hurdle",0.00105689878440075,5.900987,6.525519,0.624532,0.526
"379","GIPR","hurdle",0.199506642584809,3.291856,4.360284,1.068428,0.526
"242","DCBLD1","hurdle",0.0740015656446867,4.369228,4.968625,0.599397000000001,0.526
"1103","ZNF493","hurdle",0.0117440911699916,4.259287,5.119395,0.860108,0.525
"1073","ZBTB17","hurdle",0.0293307144540106,4.389196,5.156812,0.767616,0.525
"931","SRRM3","hurdle",0.0741217220355186,3.875484,4.969561,1.094077,0.525
"896","SLC6A6","hurdle",0.31873198729056,4.774982,5.334878,0.559896,0.525
"729","PNPLA4","hurdle",0.00995749250119001,5.076167,5.65673,0.580563,0.525
"546","LRRC10B","hurdle",0.103504223153136,2.425276,3.948386,1.52311,0.525
"262","DLG2","hurdle",0.0405224615107612,3.283267,4.533471,1.250204,0.525
"61","ARL17A","hurdle",0.295738680500912,3.097175,3.781137,0.683962,0.525
"1072","ZBED3","hurdle",0.14968695350932,3.464689,4.389716,0.925027,0.524
"990","TMCC3","hurdle",0.0497700982383362,4.5823,5.460273,0.877973,0.524
"745","PRH1","hurdle",0.000287153619678519,-0.5208741,3.410963,3.9318371,0.524
"702","PEX5L","hurdle",0.0104541233787674,-0.2791242,3.1100307,3.3891549,0.524
"623","MZF1","hurdle",0.0734752657851487,4.888229,5.39794,0.509711,0.524
"614","MUTYH","hurdle",0.324954518030826,3.631456,4.28251,0.651054,0.524
"588","MEG8","hurdle",0.000693147459235048,-1.326965,2.917601,4.244566,0.524
"558","LUC7L2","hurdle",0.19749042479413,4.069119,4.596867,0.527748,0.524
"489","KCNG3","hurdle",0.00693546922893029,0.5070974,3.3983255,2.8912281,0.524
"399","GPR19","hurdle",0.02674655630792,1.625819,3.549478,1.923659,0.524
"137","CALCB","hurdle",0.201324048071128,3.905616,4.462492,0.556876,0.524
"1092","ZNF296","hurdle",0.0342041420888276,0.8542099,2.9686792,2.1144693,0.523
"855","SENP8","hurdle",0.112004813766661,3.133012,4.037294,0.904282,0.523
"781","RASGEF1B","hurdle",0.0719585665101164,2.800244,3.910152,1.109908,0.523
"744","PREX1","hurdle",0.175854217937735,3.139576,4.096473,0.956897,0.523
"532","LENG1","hurdle",0.264698482360833,4.396019,4.923512,0.527493,0.523
"207","CLGN","hurdle",0.047928820544197,4.778032,5.468686,0.690654,0.523
"205","CKMT1A","hurdle",0.0179157934183783,3.90875,4.826001,0.917251,0.523
"873","SLC12A5","hurdle",0.294777989817852,3.552999,4.227926,0.674927,0.522
"856","SERGEF","hurdle",0.0552870386729367,5.272913,5.823653,0.55074,0.522
"817","RNF186","hurdle",0.295076364234741,3.204402,3.893468,0.689066,0.522
"773","PWWP2B","hurdle",0.0612334602668355,3.848509,4.682731,0.834222,0.522
"650","NTN1","hurdle",0.0268236627264453,1.087382,3.168045,2.080663,0.522
"573","MAP7D2","hurdle",0.290752731765564,4.559263,5.207617,0.648354,0.522
"553","LRRN3","hurdle",0.0692808993968954,1.33833,3.226267,1.887937,0.522
"440","HSD17B7","hurdle",0.0018200355578188,3.962095,4.962822,1.000727,0.522
"372","GCNT4","hurdle",0.0944910988086531,2.160796,3.466835,1.306039,0.522
"363","GAD1","hurdle",0.100731721716702,1.851831,3.395504,1.543673,0.522
"249","DDX25","hurdle",0.0630843886835694,3.824201,4.731159,0.906958,0.522
"53","ARHGAP19-SLIT1","hurdle",0.0271872446534287,0.5312279,3.0253571,2.4941292,0.522
"1050","UNC5D","hurdle",0.0259725735233992,0.09733626,2.61343424,2.51609798,0.521
"1003","TMEM246","hurdle",0.003412131452352,5.490704,6.283716,0.793012,0.521
"999","TMEM198","hurdle",0.178221716058352,4.323567,4.900895,0.577328000000001,0.521
"948","SYNM","hurdle",0.0679051437860219,1.4379,3.547285,2.109385,0.521
"755","PRPS1","hurdle",0.0115826869413382,5.264862,5.909182,0.64432,0.521
"707","PHKG1","hurdle",0.241876820991031,3.679474,4.499255,0.819781,0.521
"411","GRIN3B","hurdle",0.000752092905919023,-0.7902167,3.7515931,4.5418098,0.521
"337","FBXO17","hurdle",0.0784563546383612,4.988557,5.660859,0.672302,0.521
"327","FAM227B","hurdle",0.375652835384855,2.255493,2.810857,0.555364,0.521
"326","FAM222A","hurdle",0.0153506960238995,4.035545,5.227344,1.191799,0.521
"41","ANKRD23","hurdle",0.039330028605301,1.802202,3.647113,1.844911,0.521
"848","SCRN2","hurdle",0.110762306113602,4.975969,5.522049,0.54608,0.52
"765","PTCHD2","hurdle",0.0499776131471602,0.6000172,1.3214743,0.7214571,0.52
"520","KRT222","hurdle",0.287225853477604,3.63629,4.310023,0.673733,0.52
"404","GPRIN3","hurdle",0.0639423616480488,3.749801,4.77301,1.023209,0.52
"378","GINS2","hurdle",0.211198017295316,2.184277,3.377377,1.1931,0.52
"215","CNTN5","hurdle",0.237593998958311,1.934265,2.845543,0.911278,0.52
"1119","ZNF883","hurdle",0.215296913729015,2.504343,3.661768,1.157425,0.519
"1105","ZNF540","hurdle",0.369619736522862,3.102343,3.868476,0.766133,0.519
"1093","ZNF322","hurdle",0.0509819256096181,3.706226,4.531546,0.82532,0.519
"1047","UNC119","hurdle",0.026810788474477,5.018228,5.618933,0.600705,0.519
"964","TBPL1","hurdle",0.0371295348850912,4.740534,5.44779,0.707256,0.519
"709","PHYHIPL","hurdle",0.144011743709431,4.68339,5.189213,0.505822999999999,0.519
"694","PDE4B","hurdle",0.235341033915542,2.27865,3.461891,1.183241,0.519
"651","NTNG2","hurdle",0.0138966690315375,-0.2806609,2.578241,2.8589019,0.519
"634","NIPSNAP3B","hurdle",0.0614913892342986,1.492789,3.38435,1.891561,0.519
"608","MTHFD2L","hurdle",0.0502607646725229,4.334318,5.013157,0.678839,0.519
"541","LPAR6","hurdle",0.0459485662255951,3.155371,4.28478,1.129409,0.519
"539","LIPT1","hurdle",0.184390437725474,3.331309,4.247152,0.915843,0.519
"381","GKAP1","hurdle",0.0823716548005186,3.738653,4.596326,0.857673000000001,0.519
"282","EDARADD","hurdle",0.00173967682287815,6.171313,6.790594,0.619281,0.519
"220","COQ3","hurdle",0.0670112019879216,3.456863,4.364922,0.908059,0.519
"161","CD22","hurdle",0.0206671334560283,1.038218,3.238404,2.200186,0.519
"98","BRD7","hurdle",0.0279448894118811,5.210717,5.813687,0.60297,0.519
"88","BAG2","hurdle",0.0215097527406893,4.683653,5.248761,0.565108,0.519
"46","ANKRD7","hurdle",0.0156443544788479,0.09902966,2.72883338,2.62980372,0.519
"952","SYT16","hurdle",0.361231958818071,2.858982,3.650949,0.791967,0.518
"884","SLC27A6","hurdle",0.0121874898343727,-0.5678277,2.0528942,2.6207219,0.518
"862","SFTPD","hurdle",0.419038154417628,3.017184,3.669672,0.652488,0.518
"798","RFXAP","hurdle",0.180202387095894,3.369043,4.173612,0.804569,0.518
"747","PRKAG2","hurdle",0.03260919473437,4.393031,5.12139,0.728359,0.518
"667","OXGR1","hurdle",0.0879836286446447,1.1293,2.775124,1.645824,0.518
"533","LGI1","hurdle",0.028689174379151,-0.7593922,2.4344101,3.1938023,0.518
"490","KCNH1","hurdle",0.000975519010943991,-1.887332,2.920731,4.808063,0.518
"402","GPRASP2","hurdle",0.237727910714601,2.275902,3.417883,1.141981,0.518
"250","DDX26B","hurdle",0.0615825364045231,1.874566,3.340885,1.466319,0.518
"240","DBP","hurdle",0.00350414842467715,4.066523,5.526319,1.459796,0.518
"229","CREG2","hurdle",0.0185564793917319,-0.3124665,2.6536829,2.9661494,0.518
"169","CD8A","hurdle",0.00332786146784573,-1.576176,2.739246,4.315422,0.518
"86","B3GNT4","hurdle",0.0305139354507447,-0.6990586,2.2801407,2.9791993,0.518
"33","ALDOC","hurdle",0.0613662333495071,4.806788,5.377745,0.570957,0.518
"9","ACOT11","hurdle",0.425389859110032,3.23309,3.823023,0.589933,0.518
"963","TBCE","hurdle",0.154206145902475,3.809613,4.40796,0.598347,0.517
"770","PTPRU","hurdle",0.0467560393846705,2.389188,3.804855,1.415667,0.517
"718","PKP2","hurdle",0.0120148583341687,3.710362,4.693503,0.983141,0.517
"666","OXCT2","hurdle",0.0414064003488977,-1.22238,1.627555,2.849935,0.517
"501","KIAA1211","hurdle",0.158655823808507,0.3859123,1.1913028,0.8053905,0.517
"478","JPH1","hurdle",0.0887933972647244,1.663054,3.434578,1.771524,0.517
"386","GMPR","hurdle",0.408914073354599,3.391043,4.03511,0.644067000000001,0.517
"317","FAM171B","hurdle",0.0212162179189574,3.5274,4.643001,1.115601,0.517
"260","DKK4","hurdle",0.0327079020330419,-0.0722388,2.8916002,2.963839,0.517
"182","CDK5R1","hurdle",0.649589871715048,3.770948,4.349594,0.578646,0.517
"174","CDH18","hurdle",0.0930441304844793,1.420077,3.409072,1.988995,0.517
"129","C6orf226","hurdle",0.0412704191534892,4.595404,5.162443,0.567038999999999,0.517
"113","C16orf87","hurdle",0.0178936128156253,3.869955,4.615851,0.745896,0.517
"39","AMIGO1","hurdle",0.163016906595241,2.073747,3.228836,1.155089,0.517
"1022","TSHZ3","hurdle",0.242662929995583,2.570239,3.535539,0.9653,0.516
"934","STK32C","hurdle",0.261790722202566,2.954153,3.686262,0.732109,0.516
"902","SLCO4A1","hurdle",0.211547751603135,0.963126,2.589202,1.626076,0.516
"757","PRRT1","hurdle",0.464861202125752,2.173405,3.21544,1.042035,0.516
"733","PON1","hurdle",0.118275464284584,0.9816961,3.5420259,2.5603298,0.516
"624","NAPB","hurdle",0.19878764523052,4.567654,5.132496,0.564842,0.516
"128","C5orf45","hurdle",0.0913876434066678,3.159338,4.230186,1.070848,0.516
"73","ATAD3C","hurdle",0.193884978648935,4.166721,4.668482,0.501761,0.516
"7","ACADSB","hurdle",0.017375641005397,4.291306,5.368196,1.07689,0.516
"1124","ZSWIM3","hurdle",0.332931081930387,1.644244,2.803584,1.15934,0.515
"1082","ZFP82","hurdle",0.234373998706753,3.312349,3.879168,0.566819,0.515
"1071","XKR4","hurdle",0.223607321791866,2.622422,3.72354,1.101118,0.515
"923","SPIN2B","hurdle",0.0208417152880094,2.787938,3.897848,1.10991,0.515
"818","RNF32","hurdle",0.208099032820205,2.018429,3.122727,1.104298,0.515
"728","PNMAL2","hurdle",0.0653492330797906,0.2631788,2.4916339,2.2284551,0.515
"691","PCDHGB6","hurdle",0.0156374632824234,-0.1777447,3.0232959,3.2010406,0.515
"680","PCDH7","hurdle",0.553305444229581,3.231818,3.837812,0.605994,0.515
"544","LRP5L","hurdle",0.125358975500818,3.446339,4.132256,0.685917,0.515
"519","KNDC1","hurdle",0.00801403729297553,2.702396,4.096062,1.393666,0.515
"499","KDM4D","hurdle",0.129752523415189,0.2867878,2.3065331,2.0197453,0.515
"284","EEF1E1","hurdle",0.0342068455867381,4.87654,5.453558,0.577018,0.515
"247","DDI2","hurdle",0.175729162085187,3.087091,4.014427,0.927336,0.515
"211","CNPY4","hurdle",0.1260538740061,4.146723,4.686137,0.539414000000001,0.515
"184","CDKL2","hurdle",0.113048693589813,2.235175,3.360196,1.125021,0.515
"115","C19orf73","hurdle",0.113905233702843,2.442564,3.779961,1.337397,0.515
"1122","ZSCAN21","hurdle",0.610704714231684,2.880382,3.648434,0.768052,0.514
"1018","TRPM2","hurdle",0.0130309279619835,-2.0081256,0.3984526,2.4065782,0.514
"1004","TMEM255A","hurdle",0.096535139033694,0.6476446,2.0510527,1.4034081,0.514
"960","TBC1D2","hurdle",0.462356362990889,1.908766,2.953358,1.044592,0.514
"918","SPAG6","hurdle",0.196064358143193,2.021025,2.968045,0.94702,0.514
"808","RIPPLY2","hurdle",0.139016382340413,3.306514,4.026614,0.7201,0.514
"794","REXO4","hurdle",0.0282861463955958,4.612645,5.230106,0.617461,0.514
"732","POLR2M","hurdle",0.0445648014341623,2.682895,3.907766,1.224871,0.514
"706","PHACTR1","hurdle",0.0661078314499223,1.072043,1.654545,0.582502,0.514
"676","PALM2","hurdle",0.405650006996311,2.72877,3.531826,0.803056,0.514
